1,Deklofenak,5,23,3200,05.05.2024 13:58:01
2,Izofluran,19,45,6500,06.05.2024 13:58:01
3,Tramadol,2,65,2300,09.05.2024 13:58:01
4,Paratsetamol,28,100,5700,12.05.2024 13:58:01
5,Tefestrol,50,345,2000,17.05.2024 13:58:01
6,Kukumazim,55,54,3000,19.05.2024 13:58:01
7,Kardioleks,60,65,4000,20.05.2024 13:58:01
8,Xolosas,60,75,8100,21.05.2024 13:58:01
9,Permetrin,60,87,80000,22.05.2024 13:58:01
10,Etanol,75,54,75000,23.05.2024 13:58:01
11,Asiklovir,68,25,73000,23.05.2024 13:58:01
12,Levofloksatsin,85,87,72000,23.05.2024 13:58:01
13,Siprofloksatsin,67,65,70000,23.05.2024 13:58:01
14,Ofloksatsin,90,98,53000,23.05.2024 13:58:01
15,Nitroksolin,100,34,51000,23.05.2024 13:58:01
16,Tetratsiklin,105,65,48000,23.05.2024 13:58:01
17,Sefazolin,110,97,43000,23.05.2024 13:58:01
18,Sefepim,115,35,44000,23.05.2024 13:58:01
19,Amikatsin,120,74,36000,23.05.2024 13:58:01
20,Natriy tiosulfati,125,98,24000,23.05.2024 13:58:01
21,Kalsiy glyukonat,130,125,23000,23.05.2024 13:58:01
22,Kalsiy xlorid,127,356,37000,23.05.2024 13:58:01
23,Tioktat kislotasi,140,455,34000,24.05.2024 13:58:01
24,Natriy gidrokarbonat,145,78,32000,24.05.2024 13:58:01
25,Natriy xlorid,150,45,46000,24.05.2024 13:58:01
26,Gidrokortizon,153,87,45000,24.05.2024 13:58:01
27,Kaliy xlorid,160,85,12500,24.05.2024 13:58:01
28,Taylol Hot,44,645,10200,24.05.2024 13:58:01
29,Trimol,8,867,3000,24.05.2024 13:58:01
30,Omiz,30,25,4300,24.05.2024 21:38:15
